Id,LotFrontage,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF
1554,52.0,6,1920,1993,0.0,0.0,662.0,662,662,1324,1,6,0,1920.0,1.0,180.0,0,0
1555,100.0,5,1959,1959,90.0,766.0,1422.0,1675,0,1675,2,8,2,1959.0,1.0,365.0,0,132
1556,72.0,5,1917,1950,0.0,0.0,689.0,725,499,1224,1,6,0,1917.0,1.0,180.0,0,0
1557,60.0,5,1915,1950,0.0,1026.0,1212.0,1212,180,1392,1,6,0,,0.0,0.0,0,0
1558,65.0,6,1940,1950,0.0,368.0,600.0,600,319,919,1,5,0,1940.0,1.0,231.0,0,0
1559,,4,1907,1950,0.0,73.0,707.0,942,942,1884,1,7,0,,0.0,0.0,0,0
1560,60.0,5,1910,1950,0.0,736.0,856.0,936,744,1680,2,7,1,1910.0,2.0,450.0,56,144
1561,72.0,4,1967,1967,72.0,704.0,1832.0,1832,0,1832,2,8,0,,0.0,0.0,0,58
1562,65.0,5,1966,2008,47.0,240.0,864.0,892,0,892,1,5,0,1966.0,1.0,416.0,0,0
1563,65.0,5,1968,1968,0.0,775.0,864.0,864,0,864,1,4,0,1969.0,1.0,280.0,226,0
1564,,5,1978,1978,0.0,1319.0,1319.0,1373,0,1373,1,5,2,1978.0,2.0,591.0,0,0
1565,86.0,5,1968,1968,0.0,267.0,720.0,720,720,1440,1,7,2,1968.0,2.0,480.0,192,38
1566,,7,1977,2001,0.0,1092.0,1420.0,1483,0,1483,1,4,2,1977.0,2.0,690.0,496,0
1567,94.0,4,1927,1950,0.0,0.0,660.0,756,0,756,1,4,0,1945.0,2.0,440.0,80,0
1568,,6,1978,1992,288.0,964.0,1117.0,1117,864,1981,2,8,1,1978.0,2.0,522.0,336,104
1569,124.0,3,1938,1990,0.0,288.0,972.0,1052,558,1610,2,8,1,1938.0,1.0,480.0,0,0
1570,65.0,6,1950,1987,0.0,104.0,663.0,1074,0,1074,1,6,1,1987.0,1.0,467.0,0,52
1571,50.0,4,1947,1979,0.0,192.0,756.0,1169,0,1531,1,8,1,1947.0,1.0,209.0,0,0
1572,75.0,5,1954,1998,0.0,954.0,1172.0,1172,0,1172,1,5,0,1954.0,1.0,366.0,240,0
1573,44.0,7,2009,2010,96.0,1346.0,1508.0,1508,0,1508,1,5,2,2009.0,2.0,572.0,0,0
1574,,5,1964,1964,0.0,0.0,1250.0,1298,0,1298,2,5,0,1964.0,2.0,504.0,0,144
1575,83.0,7,1987,1987,177.0,1433.0,1433.0,1433,0,1433,1,4,2,1987.0,2.0,528.0,0,278
1576,87.0,6,1993,1993,85.0,860.0,946.0,964,838,1802,2,8,1,2000.0,4.0,1017.0,450,92
1577,64.0,7,2010,2010,80.0,24.0,1222.0,1222,0,1222,2,6,0,2009.0,2.0,615.0,0,54
1578,82.0,6,1900,1993,0.0,0.0,676.0,831,614,1445,2,6,0,1957.0,2.0,484.0,0,59
1579,82.0,5,1996,1996,0.0,870.0,870.0,965,0,965,1,4,0,1998.0,2.0,580.0,71,0
1580,,7,1997,1998,0.0,353.0,878.0,892,800,1692,2,8,1,1997.0,2.0,513.0,0,39
1581,38.0,5,1977,2004,0.0,198.0,1026.0,1026,0,1026,1,5,0,1977.0,1.0,308.0,316,85
1582,68.0,5,1972,1972,0.0,480.0,876.0,876,0,876,1,5,0,1977.0,2.0,484.0,0,0
1583,80.0,8,2003,2003,320.0,1682.0,1978.0,1978,0,1978,2,8,1,2003.0,3.0,850.0,188,25
1584,75.0,7,1997,1997,0.0,0.0,1040.0,1044,1054,2098,2,9,1,1997.0,2.0,621.0,331,38
1585,,6,2003,2003,170.0,672.0,848.0,848,0,848,1,4,0,2003.0,2.0,420.0,140,0
1586,67.0,3,1945,2007,0.0,0.0,0.0,640,0,640,1,5,0,1945.0,1.0,240.0,0,0
1587,68.0,5,1954,1954,0.0,0.0,381.0,992,0,992,1,6,0,1954.0,1.0,319.0,60,0
1588,60.0,5,1968,1968,0.0,1070.0,1196.0,1196,0,1196,1,6,0,1968.0,1.0,336.0,257,0
1589,89.0,4,1948,1950,0.0,0.0,744.0,792,328,1120,1,5,0,1956.0,2.0,480.0,0,0
1590,65.0,6,1975,1975,0.0,528.0,1008.0,1096,0,1096,1,5,1,1975.0,1.0,352.0,0,0
1591,64.0,4,1958,1958,0.0,0.0,960.0,960,0,960,1,5,0,,0.0,0.0,0,0
1592,67.0,5,1924,1999,203.0,133.0,1107.0,1296,0,1296,2,5,1,1979.0,1.0,260.0,0,0
1593,,6,1939,1950,0.0,238.0,856.0,856,0,856,1,4,1,1939.0,2.0,399.0,0,0
1594,60.0,4,1967,1967,0.0,0.0,0.0,862,1788,2650,3,10,0,,0.0,0.0,0,0
1595,51.0,5,1931,1950,0.0,0.0,894.0,894,772,1666,1,7,1,,0.0,0.0,0,156
1596,78.0,7,1941,1985,371.0,426.0,1528.0,1225,908,2133,1,8,2,1941.0,1.0,312.0,0,0
1597,78.0,5,1950,1991,430.0,375.0,1032.0,1102,1075,2177,2,11,0,1950.0,2.0,484.0,0,0
1598,85.0,7,1994,2007,44.0,343.0,423.0,896,756,1652,2,6,0,1994.0,2.0,473.0,0,0
1599,35.0,8,1989,1989,0.0,747.0,982.0,1034,0,1034,1,4,1,1989.0,2.0,598.0,141,36
1600,35.0,8,1989,1989,0.0,76.0,1191.0,1191,0,1191,2,5,1,1989.0,2.0,531.0,112,81
1601,58.0,2,1941,1950,0.0,480.0,480.0,540,0,540,1,4,0,1951.0,1.0,200.0,0,0
1602,50.0,6,1921,1975,0.0,308.0,629.0,727,380,1107,1,5,0,1950.0,1.0,625.0,0,56
1603,66.0,4,1896,1950,0.0,0.0,756.0,952,0,952,1,5,0,1896.0,1.0,330.0,0,0
1604,44.0,8,2004,2005,186.0,1373.0,1594.0,1646,0,1646,2,5,1,2004.0,2.0,525.0,128,53
1605,85.0,8,1998,1999,0.0,615.0,1049.0,1036,880,1916,2,8,1,1998.0,3.0,741.0,0,70
1606,74.0,6,1977,1977,0.0,679.0,1243.0,1285,0,1285,2,6,1,1977.0,2.0,473.0,375,26
1607,,6,1976,1976,0.0,0.0,1958.0,2048,0,2048,3,9,0,1976.0,2.0,776.0,0,0
1608,88.0,7,2008,2008,60.0,78.0,1336.0,1346,0,1346,2,6,1,2008.0,3.0,660.0,100,48
1609,73.0,7,2009,2010,0.0,0.0,1214.0,1214,0,1214,2,6,0,2010.0,2.0,520.0,0,25
1610,73.0,5,2006,2007,0.0,0.0,384.0,744,700,1444,2,7,0,2007.0,2.0,400.0,100,0
1611,85.0,5,1965,1977,0.0,42.0,1068.0,1264,0,1264,1,7,1,1965.0,2.0,528.0,0,0
1612,93.0,5,2004,2005,0.0,0.0,1430.0,1430,0,1430,2,7,0,2004.0,2.0,624.0,0,0
1613,,5,1999,1999,0.0,0.0,1344.0,1344,0,1344,2,7,1,2001.0,2.0,686.0,328,0
1614,31.0,5,1973,1973,0.0,915.0,945.0,945,0,945,1,5,1,1973.0,1.0,253.0,174,0
1615,21.0,4,1970,1970,0.0,176.0,546.0,546,546,1092,1,5,0,,0.0,0.0,200,26
1616,21.0,4,1970,1970,0.0,0.0,546.0,546,546,1092,1,5,0,,0.0,0.0,0,0
1617,21.0,4,1972,1972,0.0,294.0,546.0,546,546,1092,1,5,0,1972.0,1.0,286.0,0,0
1618,50.0,5,1971,2004,0.0,469.0,864.0,874,0,874,1,5,0,1971.0,1.0,352.0,0,0
1619,76.0,5,1984,1984,0.0,207.0,833.0,833,0,833,1,5,0,1984.0,2.0,495.0,431,0
1620,70.0,5,1985,1986,0.0,0.0,1216.0,1216,1216,2432,4,10,0,1985.0,2.0,616.0,200,0
1621,63.0,5,1991,1991,0.0,458.0,624.0,624,650,1274,1,6,0,1993.0,2.0,576.0,22,0
1622,68.0,5,1969,1969,0.0,476.0,864.0,864,615,1479,2,8,0,1969.0,1.0,275.0,287,0
1623,76.0,8,1994,1995,0.0,1341.0,1679.0,1803,0,1803,2,6,2,1994.0,2.0,482.0,129,64
1624,74.0,6,1993,1994,0.0,944.0,1152.0,1152,645,1797,2,7,1,1993.0,2.0,616.0,162,312
1625,74.0,6,1956,1956,0.0,564.0,882.0,882,0,882,1,5,0,1956.0,1.0,502.0,0,0
1626,85.0,6,1974,1974,440.0,844.0,1434.0,1434,0,1434,2,7,1,1974.0,2.0,528.0,80,21
1627,88.0,6,1997,1997,0.0,847.0,945.0,945,663,1608,2,7,1,1997.0,2.0,470.0,252,30
1628,,8,2003,2003,188.0,850.0,1008.0,1008,1275,2283,2,9,1,2003.0,3.0,632.0,120,46
1629,60.0,7,1996,1997,32.0,284.0,384.0,958,670,1628,2,7,1,1996.0,2.0,390.0,48,72
1630,28.0,8,2004,2005,0.0,1965.0,2208.0,2522,0,2522,2,8,1,2004.0,2.0,564.0,182,57
1631,61.0,8,1998,1998,0.0,341.0,1418.0,1478,0,1478,2,5,0,1998.0,2.0,495.0,168,43
1632,57.0,8,1995,1996,0.0,741.0,1587.0,1734,0,1734,2,6,0,1995.0,2.0,528.0,52,50
1633,57.0,7,1998,1998,0.0,189.0,384.0,751,631,1382,2,7,1,1998.0,2.0,396.0,256,0
1634,60.0,6,1998,1999,0.0,476.0,952.0,952,684,1636,2,7,1,1998.0,2.0,440.0,0,84
1635,,6,1994,1995,0.0,600.0,707.0,707,809,1516,2,7,1,1994.0,2.0,409.0,0,46
1636,58.0,6,1993,1993,45.0,0.0,1181.0,1190,0,1190,2,6,1,1993.0,2.0,430.0,0,21
1637,85.0,5,1977,1977,157.0,400.0,1122.0,946,988,1934,2,6,1,1977.0,2.0,567.0,0,176
1638,,7,1978,1978,256.0,0.0,832.0,1154,896,2050,2,8,1,1978.0,2.0,529.0,192,192
1639,80.0,6,1978,1986,101.0,363.0,1427.0,1671,0,1671,2,7,1,1978.0,2.0,484.0,252,55
1640,,7,1980,1991,229.0,602.0,1043.0,1539,1134,2673,2,9,1,1980.0,2.0,441.0,178,84
1641,80.0,6,1978,1998,144.0,832.0,1140.0,1707,0,1707,2,7,1,1978.0,2.0,479.0,0,0
1642,70.0,7,2003,2003,0.0,622.0,926.0,1016,868,1884,2,7,1,2003.0,2.0,581.0,0,35
1643,,8,2000,2001,0.0,0.0,1058.0,1058,816,1874,2,7,1,2000.0,2.0,588.0,0,134
1644,,8,2002,2002,0.0,225.0,972.0,972,839,1811,2,7,1,2002.0,2.0,565.0,225,48
1645,,5,1975,1975,161.0,1333.0,1621.0,1621,0,1621,2,7,2,1975.0,2.0,478.0,0,0
1646,78.0,6,1974,1974,196.0,888.0,1116.0,1116,0,1116,2,6,1,1974.0,2.0,528.0,0,0
1647,85.0,7,1975,1975,0.0,636.0,1176.0,1193,0,1193,2,5,1,1975.0,2.0,506.0,40,0
1648,,5,1970,1970,0.0,0.0,1180.0,1180,0,1180,1,6,0,1970.0,2.0,477.0,0,45
1649,,5,1971,1971,178.0,500.0,1043.0,1050,0,1050,1,6,0,1971.0,1.0,336.0,0,0
1650,60.0,4,1970,1970,0.0,726.0,864.0,864,0,864,1,5,0,2001.0,2.0,576.0,210,0
1651,60.0,4,1971,2006,0.0,240.0,864.0,864,0,864,1,5,0,1986.0,2.0,576.0,200,0
1652,21.0,6,1973,1973,504.0,254.0,483.0,483,504,987,1,5,0,1973.0,1.0,264.0,0,0
1653,21.0,6,1972,1972,425.0,110.0,483.0,483,504,987,1,5,0,1972.0,1.0,288.0,0,0
1654,24.0,6,1976,1976,0.0,306.0,804.0,804,744,1548,2,7,1,1976.0,2.0,440.0,108,0
1655,24.0,7,1975,1975,0.0,435.0,1057.0,1055,0,1055,2,4,1,1975.0,2.0,440.0,0,27
1656,24.0,6,1977,1977,0.0,389.0,855.0,855,601,1456,2,6,1,1977.0,2.0,440.0,0,28
1657,24.0,6,1978,1978,0.0,320.0,804.0,804,744,1548,2,7,1,1978.0,2.0,440.0,108,0
1658,24.0,6,1978,1978,0.0,279.0,855.0,855,601,1456,2,6,1,1978.0,2.0,440.0,147,0
1659,24.0,7,1976,1976,0.0,536.0,836.0,836,0,836,1,5,0,1976.0,1.0,345.0,150,20
1660,,5,1966,2004,165.0,644.0,864.0,1120,0,1120,1,5,1,1966.0,2.0,656.0,0,162
1661,110.0,9,2007,2007,726.0,1360.0,1776.0,1794,978,2772,3,10,3,2007.0,3.0,754.0,135,64
1662,95.0,9,2009,2009,0.0,986.0,1365.0,1365,1325,2690,2,8,1,2009.0,3.0,864.0,0,197
1663,95.0,9,2008,2008,450.0,1232.0,2020.0,2020,0,2020,2,7,1,2008.0,3.0,896.0,192,98
1664,105.0,10,2007,2007,472.0,2288.0,2630.0,2674,0,2674,2,8,2,2007.0,3.0,762.0,360,50
1665,95.0,9,2008,2008,302.0,0.0,1736.0,1736,0,1736,2,7,1,2008.0,3.0,834.0,319,90
1666,129.0,8,2004,2005,238.0,1531.0,1782.0,1782,0,1782,2,7,2,2004.0,3.0,932.0,99,82
1667,59.0,8,2007,2007,20.0,1230.0,1508.0,1508,1012,2520,2,10,1,2007.0,3.0,640.0,192,273
1668,87.0,9,2008,2008,284.0,1015.0,1739.0,1743,0,1743,2,8,1,2008.0,3.0,927.0,168,45
1669,77.0,9,2006,2006,122.0,1037.0,1504.0,1531,0,1531,2,6,1,2006.0,3.0,700.0,184,52
1670,102.0,9,2008,2008,285.0,1142.0,1774.0,1808,0,1808,2,7,1,2008.0,3.0,850.0,200,26
1671,90.0,7,2003,2004,418.0,1262.0,1760.0,1760,0,1760,2,8,1,2003.0,2.0,583.0,165,190
1672,110.0,9,2003,2003,724.0,1972.0,2452.0,2452,0,2452,2,10,1,2003.0,3.0,886.0,0,116
1673,96.0,8,2003,2004,186.0,0.0,1082.0,1105,1295,2400,3,10,1,2003.0,3.0,730.0,114,40
1674,70.0,8,2006,2006,383.0,0.0,1598.0,1606,0,1606,2,6,1,2006.0,3.0,871.0,230,60
1675,47.0,6,2005,2005,240.0,836.0,1358.0,1358,0,1358,2,6,1,2005.0,2.0,484.0,192,36
1676,34.0,6,2005,2005,135.0,881.0,1306.0,1306,0,1306,2,5,1,2005.0,2.0,624.0,170,63
1677,80.0,7,2007,2008,176.0,876.0,1350.0,1358,0,1358,2,6,1,2008.0,2.0,484.0,192,26
1678,100.0,10,2004,2005,730.0,2146.0,2492.0,2492,0,2492,2,8,1,2004.0,3.0,949.0,226,235
1679,117.0,8,2003,2004,470.0,1557.0,2200.0,2200,0,2200,2,8,1,2003.0,3.0,685.0,208,55
1680,44.0,9,2008,2009,308.0,800.0,1884.0,1884,0,1884,2,6,1,2008.0,2.0,649.0,231,90
1681,48.0,9,2008,2008,500.0,0.0,1451.0,1456,0,1456,2,6,1,2008.0,2.0,539.0,192,42
1682,129.0,8,2002,2003,270.0,1196.0,1712.0,1712,0,1712,2,8,1,2002.0,3.0,701.0,218,183
1683,48.0,7,2003,2003,163.0,0.0,1405.0,1405,0,1405,2,6,1,2003.0,2.0,478.0,148,36
1684,63.0,7,2005,2005,0.0,0.0,728.0,728,728,1456,2,8,1,2005.0,2.0,390.0,100,0
1685,57.0,6,2005,2006,0.0,0.0,745.0,745,745,1490,2,7,1,2005.0,2.0,392.0,36,20
1686,43.0,7,2005,2006,16.0,16.0,1220.0,1220,0,1220,2,5,1,2005.0,2.0,397.0,100,16
1687,59.0,7,2004,2005,0.0,0.0,384.0,744,630,1374,2,6,1,2004.0,2.0,400.0,100,0
1688,62.0,7,2004,2005,200.0,0.0,868.0,868,762,1630,2,7,1,2004.0,2.0,436.0,120,48
1689,61.0,7,2004,2004,0.0,0.0,846.0,846,748,1594,2,7,1,2004.0,2.0,434.0,300,48
1690,,7,2003,2003,0.0,652.0,782.0,806,683,1489,2,8,1,2003.0,2.0,400.0,0,75
1691,,7,2003,2003,0.0,494.0,698.0,698,644,1342,2,7,1,2003.0,2.0,393.0,100,56
1692,,8,2002,2002,,651.0,870.0,878,1126,2004,2,8,1,2002.0,3.0,644.0,0,48
1693,61.0,7,2004,2004,0.0,241.0,384.0,744,630,1374,2,7,0,2004.0,2.0,400.0,0,0
1694,42.0,6,2000,2000,0.0,683.0,794.0,819,695,1514,2,7,1,2000.0,2.0,394.0,0,72
1695,62.0,7,1999,2000,0.0,0.0,384.0,774,656,1430,2,7,1,1999.0,2.0,400.0,0,0
1696,,7,1999,1999,210.0,913.0,1177.0,1223,1089,2312,2,8,1,1999.0,3.0,658.0,298,0
1697,64.0,7,1999,1999,0.0,0.0,384.0,774,656,1430,2,7,1,1999.0,2.0,410.0,0,0
1698,106.0,8,2000,2000,150.0,1173.0,1455.0,1466,1221,2687,2,10,2,2000.0,3.0,810.0,252,30
